# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 아파트 전월세 실거래 2026.03~05 전국, 원본 238,658건 집계
# 시도·시군구·전월세·전용면적대별 보증금/월세 중위값. 면적대 평은 전용면적 ㎡ 환산.
시도,시군구,전월세,전용면적대,거래건수,보증금중위(만원),월세중위(만원),건축년도중위
강원특별자치도,홍천군,전세,40~60㎡(12~18평),9,12000,0,2004
강원특별자치도,홍천군,전세,40㎡미만(~12평),4,5100,0,1998
강원특별자치도,홍천군,전세,60~85㎡(18~26평),13,21000,0,2023
강원특별자치도,홍천군,전세,85~135㎡(26~40평),3,27000,0,2023
강원특별자치도,화천군,월세,40~60㎡(12~18평),2,3500,55,2016
강원특별자치도,화천군,전세,40~60㎡(12~18평),1,8000,0,1992
강원특별자치도,횡성군,월세,40~60㎡(12~18평),1,2805,32,2011
강원특별자치도,횡성군,월세,60~85㎡(18~26평),3,2000,70,2013
강원특별자치도,횡성군,전세,40~60㎡(12~18평),3,5900,0,1999
강원특별자치도,횡성군,전세,60~85㎡(18~26평),1,3500,0,1994
경기도,가평군,월세,40~60㎡(12~18평),13,2000,80,2023
경기도,가평군,월세,40㎡미만(~12평),4,2000,26,2014
경기도,가평군,월세,60~85㎡(18~26평),21,2000,70,2012
경기도,가평군,월세,85~135㎡(26~40평),1,5000,150,2025
경기도,가평군,전세,40~60㎡(12~18평),22,15000,0,2019
경기도,가평군,전세,60~85㎡(18~26평),54,22275,0,2021
경기도,가평군,전세,85~135㎡(26~40평),1,34000,0,2025
경기도,고양시 덕양구,월세,135㎡이상(40평~),6,10000,165,2003
경기도,고양시 덕양구,월세,40~60㎡(12~18평),449,4800,68,1996
경기도,고양시 덕양구,월세,40㎡미만(~12평),336,5004,10,2022
경기도,고양시 덕양구,월세,60~85㎡(18~26평),269,10000,110,2014
경기도,고양시 덕양구,월세,85~135㎡(26~40평),56,12500,132,2002
경기도,고양시 덕양구,전세,135㎡이상(40평~),9,49000,0,1997
경기도,고양시 덕양구,전세,40~60㎡(12~18평),623,25500,0,1996
경기도,고양시 덕양구,전세,40㎡미만(~12평),47,25000,0,2023
경기도,고양시 덕양구,전세,60~85㎡(18~26평),741,44000,0,2014
경기도,고양시 덕양구,전세,85~135㎡(26~40평),132,46000,0,2004
경기도,고양시 일산동구,월세,135㎡이상(40평~),27,10000,180,2010
경기도,고양시 일산동구,월세,40~60㎡(12~18평),183,3382,70,2004
경기도,고양시 일산동구,월세,40㎡미만(~12평),45,1000,60,1995
경기도,고양시 일산동구,월세,60~85㎡(18~26평),144,10000,110,2008
경기도,고양시 일산동구,월세,85~135㎡(26~40평),61,10000,150,2006
경기도,고양시 일산동구,전세,135㎡이상(40평~),26,52500,0,2010
경기도,고양시 일산동구,전세,40~60㎡(12~18평),222,24000,0,1995
경기도,고양시 일산동구,전세,40㎡미만(~12평),32,16000,0,1992
경기도,고양시 일산동구,전세,60~85㎡(18~26평),332,35250,0,2001
경기도,고양시 일산동구,전세,85~135㎡(26~40평),166,49750,0,2006
